Inner Device Heat Gains.Timestep;Time;Sum [kWh]
0;2010/7/1 0:00;0.03850694822925689
60;2010/7/1 1:00;0.038548310501668126
120;2010/7/1 2:00;0.03721854269952253
180;2010/7/1 3:00;0.03709116219701087
240;2010/7/1 4:00;0.039783158308716746
300;2010/7/1 5:00;0.03610385615806576
360;2010/7/1 6:00;0.037159088872302834
420;2010/7/1 7:00;0.9297145097073906
480;2010/7/1 8:00;0.05919120923246334
540;2010/7/1 9:00;0.03555629736268252
600;2010/7/1 10:00;0.036264951025692826
660;2010/7/1 11:00;0.038769654668795894
720;2010/7/1 12:00;0.04215682344112883
780;2010/7/1 13:00;0.03730156677540226
840;2010/7/1 14:00;0.038540464170951805
900;2010/7/1 15:00;0.03759385385274038
960;2010/7/1 16:00;0.027835432189923008
1020;2010/7/1 17:00;0.20502093176747269
1080;2010/7/1 18:00;0.27035162689309794
1140;2010/7/1 19:00;1.4201220072134575
1200;2010/7/1 20:00;0.5558408321142064
1260;2010/7/1 21:00;0.3405958333750647
1320;2010/7/1 22:00;0.3049403721247263
1380;2010/7/1 23:00;0.13731630674494325
1440;2010/7/2 0:00;0.03599103685338773
1500;2010/7/2 1:00;0.03849950120110284
1560;2010/7/2 2:00;0.03733775640034604
1620;2010/7/2 3:00;0.0372424116236095
1680;2010/7/2 4:00;0.03733257249277299
1740;2010/7/2 5:00;0.03725413981797164
1800;2010/7/2 6:00;1.2375531516145155
1860;2010/7/2 7:00;0.2152952454952631
1920;2010/7/2 8:00;0.7640328318091939
1980;2010/7/2 9:00;0.05467408831183147
2040;2010/7/2 10:00;0.03460307108126105
2100;2010/7/2 11:00;0.037103041076717254
2160;2010/7/2 12:00;0.03719155840296477
2220;2010/7/2 13:00;0.037302832937137445
2280;2010/7/2 14:00;0.03743930834866716
2340;2010/7/2 15:00;0.037311626778507447
2400;2010/7/2 16:00;1.3491752003725885
2460;2010/7/2 17:00;2.6352649146597913
2520;2010/7/2 18:00;1.9874564148243674
2580;2010/7/2 19:00;0.2891397474625758
2640;2010/7/2 20:00;0.33105286662078287
2700;2010/7/2 21:00;0.3582643364175714
2760;2010/7/2 22:00;0.3200200059434187
2820;2010/7/2 23:00;0.12714806558909583
2880;2010/7/3 0:00;0.036969191429822294
2940;2010/7/3 1:00;0.03722918399839894
3000;2010/7/3 2:00;0.044141074444705344
3060;2010/7/3 3:00;0.036941015289427975
3120;2010/7/3 4:00;0.03735924812209344
3180;2010/7/3 5:00;0.03227493410873566
3240;2010/7/3 6:00;0.03580033980082096
3300;2010/7/3 7:00;0.9227872958636697
3360;2010/7/3 8:00;1.35077960958381
3420;2010/7/3 9:00;0.5435324911694661
3480;2010/7/3 10:00;0.31466100457493473
3540;2010/7/3 11:00;1.380723295859854
3600;2010/7/3 12:00;1.7216369703931351
3660;2010/7/3 13:00;0.8730054361615575
3720;2010/7/3 14:00;0.08555227753705746
3780;2010/7/3 15:00;0.05494097076003223
3840;2010/7/3 16:00;0.03611181899161248
3900;2010/7/3 17:00;0.05487499366479401
3960;2010/7/3 18:00;0.06482024241603743
4020;2010/7/3 19:00;0.23600631042342818
4080;2010/7/3 20:00;0.133598017471335
4140;2010/7/3 21:00;0.25508828826163354
4200;2010/7/3 22:00;0.2349457550910633
4260;2010/7/3 23:00;0.037194863594124584
4320;2010/7/4 0:00;0.038502429984439104
4380;2010/7/4 1:00;0.039927712912303834
4440;2010/7/4 2:00;0.03574586284761069
4500;2010/7/4 3:00;0.03592688257882724
4560;2010/7/4 4:00;0.03717869417173321
4620;2010/7/4 5:00;0.13960405972811057
4680;2010/7/4 6:00;0.9378020942537386
4740;2010/7/4 7:00;1.076621845204994
4800;2010/7/4 8:00;0.3990231532068572
4860;2010/7/4 9:00;0.3734394262366939
4920;2010/7/4 10:00;0.36847010246534284
4980;2010/7/4 11:00;1.503210894463011
5040;2010/7/4 12:00;0.04863013082059408
5100;2010/7/4 13:00;4.39471666669952
5160;2010/7/4 14:00;3.1645664077103253
5220;2010/7/4 15:00;0.5671963248161891
5280;2010/7/4 16:00;0.28701386386564326
5340;2010/7/4 17:00;1.9307868931287997
5400;2010/7/4 18:00;0.07288831903352007
5460;2010/7/4 19:00;0.14107953410510982
5520;2010/7/4 20:00;0.3609223299153958
5580;2010/7/4 21:00;0.3285782564548753
5640;2010/7/4 22:00;0.2937445043825308
5700;2010/7/4 23:00;0.2227067519196076
5760;2010/7/5 0:00;0.038259516185886015
5820;2010/7/5 1:00;0.0364264056890791
5880;2010/7/5 2:00;0.034775274516304654
5940;2010/7/5 3:00;0.0373451995094901
6000;2010/7/5 4:00;0.03713373906779599
