Inner Device Heat Gains.Timestep;Time;Sum [kWh]
0;2010/7/1 0:00;0.08057143698380298
60;2010/7/1 1:00;0.08073886006465403
120;2010/7/1 2:00;0.06799945371543853
180;2010/7/1 3:00;0.07615771355827762
240;2010/7/1 4:00;0.08064604610968781
300;2010/7/1 5:00;0.07508970725079668
360;2010/7/1 6:00;0.06982352481861565
420;2010/7/1 7:00;1.0696646425904013
480;2010/7/1 8:00;0.08709437196255411
540;2010/7/1 9:00;0.06961858086028469
600;2010/7/1 10:00;0.6263028857801236
660;2010/7/1 11:00;0.09498121979132472
720;2010/7/1 12:00;0.9254400538838902
780;2010/7/1 13:00;0.8026043590038728
840;2010/7/1 14:00;0.180910631874197
900;2010/7/1 15:00;0.19158677799087248
960;2010/7/1 16:00;0.26208722112580873
1020;2010/7/1 17:00;0.15250808199178012
1080;2010/7/1 18:00;0.3439351340044453
1140;2010/7/1 19:00;0.8692340473836545
1200;2010/7/1 20:00;0.48768827090813427
1260;2010/7/1 21:00;0.6991107605863155
1320;2010/7/1 22:00;0.49168544145325394
1380;2010/7/1 23:00;0.38376861998056166
1440;2010/7/2 0:00;0.07595519980668401
1500;2010/7/2 1:00;0.08652980656170374
1560;2010/7/2 2:00;0.06212719410672744
1620;2010/7/2 3:00;0.08635624589680624
1680;2010/7/2 4:00;0.06211656660005589
1740;2010/7/2 5:00;0.08644558949842247
1800;2010/7/2 6:00;0.06231665076478066
1860;2010/7/2 7:00;0.810204774365718
1920;2010/7/2 8:00;1.4001123412091998
1980;2010/7/2 9:00;0.11701722798073687
2040;2010/7/2 10:00;0.15101433710754195
2100;2010/7/2 11:00;1.162822322030846
2160;2010/7/2 12:00;0.9265936998272463
2220;2010/7/2 13:00;0.23581826229605463
2280;2010/7/2 14:00;0.06652385443167327
2340;2010/7/2 15:00;0.18282682733514172
2400;2010/7/2 16:00;0.6685705511320875
2460;2010/7/2 17:00;0.13057391995200718
2520;2010/7/2 18:00;0.17604008975016858
2580;2010/7/2 19:00;1.07732426168133
2640;2010/7/2 20:00;0.4982699733606582
2700;2010/7/2 21:00;0.658412791376207
2760;2010/7/2 22:00;0.4756641873290823
2820;2010/7/2 23:00;0.24537481499267616
2880;2010/7/3 0:00;0.0620369632051491
2940;2010/7/3 1:00;0.0880336743952883
3000;2010/7/3 2:00;0.06259358271836547
3060;2010/7/3 3:00;0.08757531675042023
3120;2010/7/3 4:00;0.06214687817847482
3180;2010/7/3 5:00;0.0878928787943401
3240;2010/7/3 6:00;0.06165206165411737
3300;2010/7/3 7:00;0.8291556561996618
3360;2010/7/3 8:00;0.7205158823935273
3420;2010/7/3 9:00;0.8468436443198853
3480;2010/7/3 10:00;0.27773168453972147
3540;2010/7/3 11:00;0.15625278195922074
3600;2010/7/3 12:00;0.08610449666730853
3660;2010/7/3 13:00;0.08533435029600407
3720;2010/7/3 14:00;0.06190902009305748
3780;2010/7/3 15:00;0.16598653522653048
3840;2010/7/3 16:00;0.18588848904605537
3900;2010/7/3 17:00;1.2329195788061758
3960;2010/7/3 18:00;0.3206803967931922
4020;2010/7/3 19:00;0.5454513298225101
4080;2010/7/3 20:00;0.3743066339363274
4140;2010/7/3 21:00;0.1848144487304476
4200;2010/7/3 22:00;0.1526928983227657
4260;2010/7/3 23:00;0.09133652165743093
4320;2010/7/4 0:00;0.06497624038259389
4380;2010/7/4 1:00;0.08162339530761877
4440;2010/7/4 2:00;0.08196726535507451
4500;2010/7/4 3:00;0.062267521351241126
4560;2010/7/4 4:00;0.08168010259710147
4620;2010/7/4 5:00;0.10361007472789364
4680;2010/7/4 6:00;0.16971279063434025
4740;2010/7/4 7:00;0.5297245493649644
4800;2010/7/4 8:00;0.4734044083492485
4860;2010/7/4 9:00;0.22390998727851075
4920;2010/7/4 10:00;0.35279066923349567
4980;2010/7/4 11:00;1.3277942283604887
5040;2010/7/4 12:00;2.186858678871364
5100;2010/7/4 13:00;0.5685607100268293
5160;2010/7/4 14:00;0.614752010357861
5220;2010/7/4 15:00;0.10302595276992207
5280;2010/7/4 16:00;0.17079422973073585
5340;2010/7/4 17:00;0.09497690725340256
5400;2010/7/4 18:00;0.08177050990744622
5460;2010/7/4 19:00;0.5834045773699641
5520;2010/7/4 20:00;0.4162587342816739
5580;2010/7/4 21:00;0.5286530428867996
5640;2010/7/4 22:00;0.29586619742587017
5700;2010/7/4 23:00;0.0832795884821011
5760;2010/7/5 0:00;0.061725568556552986
5820;2010/7/5 1:00;0.08300224013394487
5880;2010/7/5 2:00;0.0762332316148694
5940;2010/7/5 3:00;0.06953047957708955
6000;2010/7/5 4:00;0.08433843637244438
6060;2010/7/5 5:00;0.06474552054799923
6120;2010/7/5 6:00;0.8920056505266829
6180;2010/7/5 7:00;0.12850470804985453
6240;2010/7/5 8:00;1.178045728620458
6300;2010/7/5 9:00;0.223910619807656
6360;2010/7/5 10:00;0.2556216100925798
6420;2010/7/5 11:00;1.6028240364138806
6480;2010/7/5 12:00;0.10418174343715611
6540;2010/7/5 13:00;0.06655005207026143
6600;2010/7/5 14:00;0.08259350572935602
6660;2010/7/5 15:00;0.09898543676131902
6720;2010/7/5 16:00;0.18474987014975713
6780;2010/7/5 17:00;0.09149683823797133
6840;2010/7/5 18:00;0.20424602260868296
6900;2010/7/5 19:00;0.5289416333419144
6960;2010/7/5 20:00;0.44907920055212835
7020;2010/7/5 21:00;0.52500419203141
7080;2010/7/5 22:00;0.3468388840106666
7140;2010/7/5 23:00;0.0850969075851142
7200;2010/7/6 0:00;0.06198414331010709
7260;2010/7/6 1:00;0.08562196835181354
7320;2010/7/6 2:00;0.06153994681897703
7380;2010/7/6 3:00;0.08557498946016234
7440;2010/7/6 4:00;0.07123689285374211
7500;2010/7/6 5:00;0.07626822374394752
7560;2010/7/6 6:00;0.3010939202077365
7620;2010/7/6 7:00;0.777343173915249
7680;2010/7/6 8:00;0.8827268012258158
7740;2010/7/6 9:00;0.17364088905987396
7800;2010/7/6 10:00;0.1613746816173287
7860;2010/7/6 11:00;1.6772089329255515
7920;2010/7/6 12:00;0.19155904180220354
7980;2010/7/6 13:00;0.08188057180565624
8040;2010/7/6 14:00;0.06619026863642455
8100;2010/7/6 15:00;0.40507507089491096
8160;2010/7/6 16:00;0.08413509920479925
8220;2010/7/6 17:00;0.10155665764041724
8280;2010/7/6 18:00;0.6998051965403431
8340;2010/7/6 19:00;0.46895801397027564
8400;2010/7/6 20:00;0.32499155080642944
8460;2010/7/6 21:00;0.3836449749435923
8520;2010/7/6 22:00;0.3798796730606302
8580;2010/7/6 23:00;0.09474799314262407
8640;2010/7/7 0:00;0.061772491432524536
8700;2010/7/7 1:00;0.08542824920589107
8760;2010/7/7 2:00;0.06451276190681066
8820;2010/7/7 3:00;0.08189030842388706
8880;2010/7/7 4:00;0.084546075857922
8940;2010/7/7 5:00;0.0665030109764559
9000;2010/7/7 6:00;0.07921171951043669
9060;2010/7/7 7:00;0.0847329452390252
9120;2010/7/7 8:00;0.07686028220237481
9180;2010/7/7 9:00;0.8347470461660198
9240;2010/7/7 10:00;0.4884230667571791
9300;2010/7/7 11:00;1.023372963544266
9360;2010/7/7 12:00;1.1675449387616217
9420;2010/7/7 13:00;0.0848786456744897
9480;2010/7/7 14:00;0.08318610894331847
9540;2010/7/7 15:00;0.120352990272997
9600;2010/7/7 16:00;0.1075483470142464
9660;2010/7/7 17:00;0.23845006257595122
9720;2010/7/7 18:00;0.45713061548943085
9780;2010/7/7 19:00;0.32514701597704154
9840;2010/7/7 20:00;0.38183984897332607
9900;2010/7/7 21:00;0.4009410858511884
9960;2010/7/7 22:00;0.2970923873321712
10020;2010/7/7 23:00;0.3191262604071509
