Reactive.Timestep;Time;Sum [kWh]
0;2010/7/1 0:00;0.010042450120129092
60;2010/7/1 1:00;0.0018565797319310185
120;2010/7/1 2:00;0.006555652050514226
180;2010/7/1 3:00;0.04022134454063241
240;2010/7/1 4:00;0.015046976272149943
300;2010/7/1 5:00;0.009665888435449186
360;2010/7/1 6:00;0.00021091890633735815
420;2010/7/1 7:00;0.04553683423383473
480;2010/7/1 8:00;0.06151031694758259
540;2010/7/1 9:00;0.027780658136798544
600;2010/7/1 10:00;0.010051890052024476
660;2010/7/1 11:00;0.008631846003558694
720;2010/7/1 12:00;0.010388570123931214
780;2010/7/1 13:00;0.01951148970608316
840;2010/7/1 14:00;0.020063497750870986
900;2010/7/1 15:00;0.008854163793447925
960;2010/7/1 16:00;0.01224589534277111
1020;2010/7/1 17:00;0.06720361978384871
1080;2010/7/1 18:00;0.6394481830721211
1140;2010/7/1 19:00;0.8328500091403771
1200;2010/7/1 20:00;0.7987270068143806
1260;2010/7/1 21:00;0.055330038533801036
1320;2010/7/1 22:00;0.04368339176349858
1380;2010/7/1 23:00;0.0029567526937245153
1440;2010/7/2 0:00;0.03376423735672471
1500;2010/7/2 1:00;0.010916433531424751
1560;2010/7/2 2:00;0.011318089042096772
1620;2010/7/2 3:00;0.01114363582182102
1680;2010/7/2 4:00;0.02639187457022767
1740;2010/7/2 5:00;0.02518926503200329
1800;2010/7/2 6:00;0.0010379199631653647
1860;2010/7/2 7:00;0.0459051988413849
1920;2010/7/2 8:00;0.024521454803754596
1980;2010/7/2 9:00;0.027740507486178175
2040;2010/7/2 10:00;0.02493950361362884
2100;2010/7/2 11:00;0.009936891184933551
2160;2010/7/2 12:00;0.010115968770083835
2220;2010/7/2 13:00;0.0016117131831334865
2280;2010/7/2 14:00;0.0054518546768233846
2340;2010/7/2 15:00;0.03239010225094859
2400;2010/7/2 16:00;0.016597685695351166
2460;2010/7/2 17:00;0.011019170922513446
2520;2010/7/2 18:00;-0.019828173134762372
2580;2010/7/2 19:00;-0.08901409686687793
2640;2010/7/2 20:00;-0.01209678013136036
2700;2010/7/2 21:00;0.01704320951733002
2760;2010/7/2 22:00;0.00669844725090769
2820;2010/7/2 23:00;0.006124283324365279
2880;2010/7/3 0:00;0.00952434725029659
2940;2010/7/3 1:00;0.0285268829461548
3000;2010/7/3 2:00;0.022701038318707577
3060;2010/7/3 3:00;0.010863820180620135
3120;2010/7/3 4:00;0.012911532163767565
3180;2010/7/3 5:00;0.009452024741583522
3240;2010/7/3 6:00;0.027768203379843703
3300;2010/7/3 7:00;0.04458102627628993
3360;2010/7/3 8:00;0.011238924401558175
3420;2010/7/3 9:00;0.02749978759433938
3480;2010/7/3 10:00;0.06636813749205166
3540;2010/7/3 11:00;0.10606233254932546
3600;2010/7/3 12:00;0.258288887368237
3660;2010/7/3 13:00;0.01074195600043874
3720;2010/7/3 14:00;0.010060251522004574
3780;2010/7/3 15:00;-0.004965265347213454
3840;2010/7/3 16:00;-0.013007123593052679
3900;2010/7/3 17:00;0.15369124967965908
3960;2010/7/3 18:00;0.0888660368850443
4020;2010/7/3 19:00;0.011253446008631394
4080;2010/7/3 20:00;0.16147486458289204
4140;2010/7/3 21:00;0.05229328615826296
4200;2010/7/3 22:00;0.06458091669406955
4260;2010/7/3 23:00;0.013882228538185465
4320;2010/7/4 0:00;0.011008730366271745
4380;2010/7/4 1:00;0.012211860003802855
4440;2010/7/4 2:00;0.00163597993109641
4500;2010/7/4 3:00;0.02891680623930826
4560;2010/7/4 4:00;0.01050099343266969
4620;2010/7/4 5:00;0.01353964357028563
4680;2010/7/4 6:00;0.010020622698470033
4740;2010/7/4 7:00;0.021711442919784135
4800;2010/7/4 8:00;0.06661944271627397
4860;2010/7/4 9:00;0.0216949791229358
4920;2010/7/4 10:00;0.184957931695274
4980;2010/7/4 11:00;0.17971898623162103
5040;2010/7/4 12:00;0.04468587604793327
5100;2010/7/4 13:00;0.01014410908886563
5160;2010/7/4 14:00;-0.06044888328805273
5220;2010/7/4 15:00;-0.042544912950533545
5280;2010/7/4 16:00;-0.02901035721265672
5340;2010/7/4 17:00;0.040063634122267856
5400;2010/7/4 18:00;0.024928157704897428
5460;2010/7/4 19:00;0.04032936289488928
5520;2010/7/4 20:00;0.02352851609444806
5580;2010/7/4 21:00;0.008347047612740301
5640;2010/7/4 22:00;0.011853602446721054
5700;2010/7/4 23:00;0.001588446169755129
5760;2010/7/5 0:00;0.006933825471368951
5820;2010/7/5 1:00;0.008447164886652841
5880;2010/7/5 2:00;0.012380432755387163
5940;2010/7/5 3:00;0.024643759294769984
6000;2010/7/5 4:00;0.038131677830935316
6060;2010/7/5 5:00;0.01026191902484308
6120;2010/7/5 6:00;0.009835867704163065
6180;2010/7/5 7:00;-0.00014229350314925518
6240;2010/7/5 8:00;0.00698426127617384
6300;2010/7/5 9:00;0.022291227704227302
6360;2010/7/5 10:00;0.029874863444076055
6420;2010/7/5 11:00;0.009880292026000737
6480;2010/7/5 12:00;0.0115427409286797
6540;2010/7/5 13:00;0.009681380234032925
6600;2010/7/5 14:00;0.008829768121649083
6660;2010/7/5 15:00;0.0606684925061415
6720;2010/7/5 16:00;0.019289509570377523
6780;2010/7/5 17:00;0.057410475467705314
6840;2010/7/5 18:00;0.1731794585569258
6900;2010/7/5 19:00;0.04826505637106007
6960;2010/7/5 20:00;0.04684418811676609
7020;2010/7/5 21:00;0.1880329009369658
7080;2010/7/5 22:00;0.04121454982342036
7140;2010/7/5 23:00;0.008364267331082418
7200;2010/7/6 0:00;0.010861459177829994
7260;2010/7/6 1:00;0.022769679483333492
7320;2010/7/6 2:00;0.029681672639068464
7380;2010/7/6 3:00;0.01002668863891619
7440;2010/7/6 4:00;0.010129053997941579
7500;2010/7/6 5:00;0.0012211745694660676
7560;2010/7/6 6:00;0.009977563589410862
7620;2010/7/6 7:00;0.03165778157837205
7680;2010/7/6 8:00;0.0417993952811076
7740;2010/7/6 9:00;0.012230256643220671
7800;2010/7/6 10:00;0.009919167736764578
7860;2010/7/6 11:00;0.014148959936668768
7920;2010/7/6 12:00;0.03919709107056916
7980;2010/7/6 13:00;0.01059366199166302
8040;2010/7/6 14:00;0.01149017434750631
8100;2010/7/6 15:00;0.00746963030027931
8160;2010/7/6 16:00;0.009430076591370564
8220;2010/7/6 17:00;0.03196527600780826
8280;2010/7/6 18:00;0.04899561466122056
8340;2010/7/6 19:00;0.12167532096774783
8400;2010/7/6 20:00;0.028309467292254264
8460;2010/7/6 21:00;0.017883457239775184
