None.Timestep;Time;Sum [None]
0;2010/7/1 0:00;3600
60;2010/7/1 1:00;3600
120;2010/7/1 2:00;3600
180;2010/7/1 3:00;3600
240;2010/7/1 4:00;3600
300;2010/7/1 5:00;3600
360;2010/7/1 6:00;360
420;2010/7/1 7:00;2400
480;2010/7/1 8:00;3600
540;2010/7/1 9:00;3600
600;2010/7/1 10:00;3600
660;2010/7/1 11:00;3600
720;2010/7/1 12:00;3600
780;2010/7/1 13:00;3600
840;2010/7/1 14:00;3600
900;2010/7/1 15:00;7200
960;2010/7/1 16:00;7200
1020;2010/7/1 17:00;7200
1080;2010/7/1 18:00;5100
1140;2010/7/1 19:00;6240
1200;2010/7/1 20:00;3300
1260;2010/7/1 21:00;0
1320;2010/7/1 22:00;2520
1380;2010/7/1 23:00;3600
1440;2010/7/2 0:00;3600
1500;2010/7/2 1:00;3600
1560;2010/7/2 2:00;3600
1620;2010/7/2 3:00;3600
1680;2010/7/2 4:00;3600
1740;2010/7/2 5:00;3600
1800;2010/7/2 6:00;3720
1860;2010/7/2 7:00;1800
1920;2010/7/2 8:00;0
1980;2010/7/2 9:00;3600
2040;2010/7/2 10:00;3600
2100;2010/7/2 11:00;3600
2160;2010/7/2 12:00;3600
2220;2010/7/2 13:00;3600
2280;2010/7/2 14:00;3600
2340;2010/7/2 15:00;4980
2400;2010/7/2 16:00;5940
2460;2010/7/2 17:00;3600
2520;2010/7/2 18:00;5700
2580;2010/7/2 19:00;3600
2640;2010/7/2 20:00;3360
2700;2010/7/2 21:00;3600
2760;2010/7/2 22:00;4140
2820;2010/7/2 23:00;3600
2880;2010/7/3 0:00;3600
2940;2010/7/3 1:00;3600
3000;2010/7/3 2:00;3600
3060;2010/7/3 3:00;3600
3120;2010/7/3 4:00;3600
3180;2010/7/3 5:00;3600
3240;2010/7/3 6:00;3360
3300;2010/7/3 7:00;0
3360;2010/7/3 8:00;0
3420;2010/7/3 9:00;3540
3480;2010/7/3 10:00;3120
3540;2010/7/3 11:00;3600
3600;2010/7/3 12:00;3240
3660;2010/7/3 13:00;900
3720;2010/7/3 14:00;4380
3780;2010/7/3 15:00;3780
3840;2010/7/3 16:00;4020
3900;2010/7/3 17:00;1140
3960;2010/7/3 18:00;2040
4020;2010/7/3 19:00;3600
4080;2010/7/3 20:00;6540
4140;2010/7/3 21:00;5040
4200;2010/7/3 22:00;840
4260;2010/7/3 23:00;3600
4320;2010/7/4 0:00;3600
4380;2010/7/4 1:00;3600
4440;2010/7/4 2:00;3600
4500;2010/7/4 3:00;3600
4560;2010/7/4 4:00;3600
4620;2010/7/4 5:00;3600
4680;2010/7/4 6:00;2220
4740;2010/7/4 7:00;0
4800;2010/7/4 8:00;0
4860;2010/7/4 9:00;2460
4920;2010/7/4 10:00;3600
4980;2010/7/4 11:00;3300
5040;2010/7/4 12:00;3600
5100;2010/7/4 13:00;3600
5160;2010/7/4 14:00;3600
5220;2010/7/4 15:00;2340
5280;2010/7/4 16:00;2760
5340;2010/7/4 17:00;840
5400;2010/7/4 18:00;2940
5460;2010/7/4 19:00;3600
5520;2010/7/4 20:00;2580
5580;2010/7/4 21:00;0
5640;2010/7/4 22:00;1020
5700;2010/7/4 23:00;3600
5760;2010/7/5 0:00;3600
