Cold Water.Timestep;Time;Sum [L]
0;2010/7/1 0:00;0
60;2010/7/1 1:00;0
120;2010/7/1 2:00;0
180;2010/7/1 3:00;0
240;2010/7/1 4:00;0
300;2010/7/1 5:00;0
360;2010/7/1 6:00;0
420;2010/7/1 7:00;12
480;2010/7/1 8:00;0
540;2010/7/1 9:00;6
600;2010/7/1 10:00;0
660;2010/7/1 11:00;0
720;2010/7/1 12:00;0
780;2010/7/1 13:00;0
840;2010/7/1 14:00;55
900;2010/7/1 15:00;0
960;2010/7/1 16:00;0
1020;2010/7/1 17:00;6
1080;2010/7/1 18:00;0
1140;2010/7/1 19:00;6
1200;2010/7/1 20:00;0
1260;2010/7/1 21:00;0
1320;2010/7/1 22:00;0
1380;2010/7/1 23:00;0
1440;2010/7/2 0:00;6
1500;2010/7/2 1:00;0
1560;2010/7/2 2:00;0
1620;2010/7/2 3:00;0
1680;2010/7/2 4:00;0
1740;2010/7/2 5:00;0
1800;2010/7/2 6:00;0
1860;2010/7/2 7:00;0
1920;2010/7/2 8:00;0
1980;2010/7/2 9:00;0
2040;2010/7/2 10:00;6
2100;2010/7/2 11:00;0
2160;2010/7/2 12:00;0
2220;2010/7/2 13:00;0
2280;2010/7/2 14:00;0
2340;2010/7/2 15:00;24
2400;2010/7/2 16:00;0
2460;2010/7/2 17:00;0
2520;2010/7/2 18:00;0
2580;2010/7/2 19:00;6
2640;2010/7/2 20:00;0
2700;2010/7/2 21:00;6
2760;2010/7/2 22:00;0
2820;2010/7/2 23:00;0
2880;2010/7/3 0:00;0
2940;2010/7/3 1:00;0
3000;2010/7/3 2:00;0
3060;2010/7/3 3:00;0
3120;2010/7/3 4:00;0
3180;2010/7/3 5:00;0
3240;2010/7/3 6:00;0
3300;2010/7/3 7:00;0
3360;2010/7/3 8:00;0
3420;2010/7/3 9:00;0
3480;2010/7/3 10:00;6
3540;2010/7/3 11:00;6
3600;2010/7/3 12:00;0
3660;2010/7/3 13:00;0
3720;2010/7/3 14:00;0
3780;2010/7/3 15:00;0
3840;2010/7/3 16:00;0
3900;2010/7/3 17:00;12
3960;2010/7/3 18:00;0
4020;2010/7/3 19:00;0
4080;2010/7/3 20:00;0
4140;2010/7/3 21:00;12
4200;2010/7/3 22:00;0
4260;2010/7/3 23:00;0
4320;2010/7/4 0:00;0
4380;2010/7/4 1:00;0
4440;2010/7/4 2:00;0
4500;2010/7/4 3:00;0
4560;2010/7/4 4:00;0
4620;2010/7/4 5:00;0
4680;2010/7/4 6:00;0
4740;2010/7/4 7:00;0
4800;2010/7/4 8:00;0
4860;2010/7/4 9:00;12
4920;2010/7/4 10:00;18
4980;2010/7/4 11:00;50
5040;2010/7/4 12:00;0
5100;2010/7/4 13:00;12
5160;2010/7/4 14:00;0
5220;2010/7/4 15:00;6
5280;2010/7/4 16:00;0
5340;2010/7/4 17:00;0
5400;2010/7/4 18:00;0
5460;2010/7/4 19:00;0
5520;2010/7/4 20:00;0
5580;2010/7/4 21:00;0
5640;2010/7/4 22:00;0
5700;2010/7/4 23:00;0
5760;2010/7/5 0:00;0
5820;2010/7/5 1:00;0
5880;2010/7/5 2:00;0
5940;2010/7/5 3:00;0
6000;2010/7/5 4:00;0
6060;2010/7/5 5:00;0
6120;2010/7/5 6:00;0
6180;2010/7/5 7:00;18
6240;2010/7/5 8:00;0
6300;2010/7/5 9:00;0
6360;2010/7/5 10:00;0
6420;2010/7/5 11:00;0
6480;2010/7/5 12:00;0
6540;2010/7/5 13:00;0
6600;2010/7/5 14:00;0
6660;2010/7/5 15:00;0
6720;2010/7/5 16:00;6
6780;2010/7/5 17:00;0
6840;2010/7/5 18:00;0
6900;2010/7/5 19:00;22.035623446644145
6960;2010/7/5 20:00;0
7020;2010/7/5 21:00;6
7080;2010/7/5 22:00;0
7140;2010/7/5 23:00;0
7200;2010/7/6 0:00;0
7260;2010/7/6 1:00;0
7320;2010/7/6 2:00;0
7380;2010/7/6 3:00;0
7440;2010/7/6 4:00;0
7500;2010/7/6 5:00;0
7560;2010/7/6 6:00;6
7620;2010/7/6 7:00;0
7680;2010/7/6 8:00;12
7740;2010/7/6 9:00;15
7800;2010/7/6 10:00;0
7860;2010/7/6 11:00;0
7920;2010/7/6 12:00;0
7980;2010/7/6 13:00;0
8040;2010/7/6 14:00;0
8100;2010/7/6 15:00;0
8160;2010/7/6 16:00;0
8220;2010/7/6 17:00;6
8280;2010/7/6 18:00;12
8340;2010/7/6 19:00;0
8400;2010/7/6 20:00;0
8460;2010/7/6 21:00;0
8520;2010/7/6 22:00;0
8580;2010/7/6 23:00;0
8640;2010/7/7 0:00;0
8700;2010/7/7 1:00;0
8760;2010/7/7 2:00;0
8820;2010/7/7 3:00;0
8880;2010/7/7 4:00;0
8940;2010/7/7 5:00;0
9000;2010/7/7 6:00;0
9060;2010/7/7 7:00;0
9120;2010/7/7 8:00;0
9180;2010/7/7 9:00;0
9240;2010/7/7 10:00;0
9300;2010/7/7 11:00;61
9360;2010/7/7 12:00;0
9420;2010/7/7 13:00;0
9480;2010/7/7 14:00;0
9540;2010/7/7 15:00;0
9600;2010/7/7 16:00;0
9660;2010/7/7 17:00;6
9720;2010/7/7 18:00;0
9780;2010/7/7 19:00;21
9840;2010/7/7 20:00;0
9900;2010/7/7 21:00;0
9960;2010/7/7 22:00;0
10020;2010/7/7 23:00;0
